,Unnamed: 0,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rmse_val
45,45,-2.3545124018918044,-2.3758318167358605,-2.315903210575636,-2.3487491430677667,0.024802833484388682,32,226.5654004414876,77.79286687600506,81.41440288225809,10.778781849235434,0.01,0.08041688772308722,1000,69,1,6.027580607319812,500,16,0.00021383474095941566,0.04836060032510915,0.0029277759395410176,0.8911934013292091,406235,5,"OrderedDict([('colsample_bytree', 0.01), ('learning_rate', 0.08041688772308722), ('max_bin', 1000), ('max_depth', 69), ('min_child_samples', 1), ('min_child_weight', 6.027580607319811), ('n_estimators', 500), ('num_leaves', 16), ('reg_alpha', 0.00021383474095941564), ('reg_lambda', 0.04836060032510915), ('scale_pos_weight', 0.0029277759395410176), ('subsample', 0.8911934013292091), ('subsample_for_bin', 406235), ('subsample_freq', 5)])",2.1550053413667483
47,47,-2.329065182838153,-2.407792121809406,-2.271207949027178,-2.3360217512249126,0.055976807378539065,8,301.8054862817128,117.19574072868988,105.52220376332599,17.984700867487547,0.3231903114295587,0.02773632356979318,453,100,8,7.41150730178227,500,68,0.032648989942326866,2.87386924586161e-07,0.0187215646834593,0.8953780358949791,395637,7,"OrderedDict([('colsample_bytree', 0.3231903114295587), ('learning_rate', 0.02773632356979318), ('max_bin', 453), ('max_depth', 100), ('min_child_samples', 8), ('min_child_weight', 7.41150730178227), ('n_estimators', 500), ('num_leaves', 68), ('reg_alpha', 0.03264898994232687), ('reg_lambda', 2.87386924586161e-07), ('scale_pos_weight', 0.0187215646834593), ('subsample', 0.8953780358949791), ('subsample_for_bin', 395637), ('subsample_freq', 7)])",2.109651057801643
49,49,-2.3242492733658544,-2.4067636436171993,-2.2807505607516187,-2.337254492578224,0.05226009349649265,10,124.25468929608661,46.79237585345428,35.51868780454001,5.109818254975924,0.287204413136493,0.1225386820958432,628,100,2,1.4723127109634917,283,16,0.0005934085468757697,5.941103948463275,0.00015345076975037075,0.9173216829987809,205115,5,"OrderedDict([('colsample_bytree', 0.287204413136493), ('learning_rate', 0.1225386820958432), ('max_bin', 628), ('max_depth', 100), ('min_child_samples', 2), ('min_child_weight', 1.472312710963492), ('n_estimators', 283), ('num_leaves', 16), ('reg_alpha', 0.0005934085468757697), ('reg_lambda', 5.941103948463275), ('scale_pos_weight', 0.00015345076975037075), ('subsample', 0.917321682998781), ('subsample_for_bin', 205115), ('subsample_freq', 5)])",2.1248386375927146
51,51,-2.3386837522935924,-2.388819732800699,-2.2854858055444813,-2.3376630968795906,0.042192072190984885,13,99.13269440333048,38.50218852399868,47.52184716860452,7.614691386874092,0.2635108893732342,0.025232850700346556,833,55,22,1.5446160493167225,241,49,0.0004908249642997988,0.2630696148996294,0.14533239308638646,0.2938578370115985,272678,4,"OrderedDict([('colsample_bytree', 0.2635108893732342), ('learning_rate', 0.025232850700346553), ('max_bin', 833), ('max_depth', 55), ('min_child_samples', 22), ('min_child_weight', 1.5446160493167223), ('n_estimators', 241), ('num_leaves', 49), ('reg_alpha', 0.0004908249642997989), ('reg_lambda', 0.2630696148996294), ('scale_pos_weight', 0.14533239308638646), ('subsample', 0.29385783701159846), ('subsample_for_bin', 272678), ('subsample_freq', 4)])",2.132200352695775
52,52,-2.343790522748272,-2.3840634072812232,-2.301073750101747,-2.342975893377081,0.033885282109406036,22,88.72102061907452,34.67114455070995,53.291863361994416,6.554741923027137,0.31605846692964945,0.01689690986506413,1000,21,20,4.2046356981049415,251,61,1.5381195207395206e-06,0.2067273075783724,0.0706144590305583,0.10772247290778647,238429,4,"OrderedDict([('colsample_bytree', 0.31605846692964945), ('learning_rate', 0.016896909865064133), ('max_bin', 1000), ('max_depth', 21), ('min_child_samples', 20), ('min_child_weight', 4.204635698104942), ('n_estimators', 251), ('num_leaves', 61), ('reg_alpha', 1.5381195207395206e-06), ('reg_lambda', 0.20672730757837238), ('scale_pos_weight', 0.0706144590305583), ('subsample', 0.10772247290778648), ('subsample_for_bin', 238429), ('subsample_freq', 4)])",2.1426557864174876
54,54,-2.3326934793494125,-2.381699096206083,-2.3032621461589846,-2.339218240571493,0.032352415313508666,17,83.95883218447369,31.821395111509773,40.35859807332357,6.996359257043111,0.2362052911733556,0.027119675029275248,917,37,42,1e-07,240,21,1.8639727282521925e-05,0.2463023123418304,5.081609976140713e-05,0.2502807318552855,228975,5,"OrderedDict([('colsample_bytree', 0.23620529117335556), ('learning_rate', 0.027119675029275248), ('max_bin', 917), ('max_depth', 37), ('min_child_samples', 42), ('min_child_weight', 1e-07), ('n_estimators', 240), ('num_leaves', 21), ('reg_alpha', 1.8639727282521925e-05), ('reg_lambda', 0.24630231234183042), ('scale_pos_weight', 5.081609976140713e-05), ('subsample', 0.2502807318552855), ('subsample_for_bin', 228975), ('subsample_freq', 5)])",2.1442809606581146
57,57,-2.328535713498201,-2.4095336794207456,-2.2861431289021157,-2.3414041739403544,0.051189223767872986,18,158.4421234925588,58.44442646964539,68.61719663937886,11.504798586220375,0.4859145906460135,0.02282451046289952,903,19,46,1e-07,260,79,1.4157434635295134e-06,0.08164984257001391,1.5480404222413155e-05,0.230012742480712,228394,1,"OrderedDict([('colsample_bytree', 0.4859145906460135), ('learning_rate', 0.022824510462899517), ('max_bin', 903), ('max_depth', 19), ('min_child_samples', 46), ('min_child_weight', 1e-07), ('n_estimators', 260), ('num_leaves', 79), ('reg_alpha', 1.4157434635295134e-06), ('reg_lambda', 0.08164984257001391), ('scale_pos_weight', 1.5480404222413155e-05), ('subsample', 0.23001274248071196), ('subsample_for_bin', 228394), ('subsample_freq', 1)])",2.1186599703244346
59,59,-2.3427639710169723,-2.3981182955341755,-2.2754294397552584,-2.3387705687688016,0.050167049472881316,16,153.89630516370138,57.279042082985,84.62583470344543,14.414144418636193,0.5236977400807212,0.021634120986476667,383,26,48,3.877913556006695,283,100,1.8396651269394318e-07,0.1613965374236702,4.622571269593607,0.22110757669554626,280136,3,"OrderedDict([('colsample_bytree', 0.5236977400807212), ('learning_rate', 0.02163412098647667), ('max_bin', 383), ('max_depth', 26), ('min_child_samples', 48), ('min_child_weight', 3.877913556006695), ('n_estimators', 283), ('num_leaves', 100), ('reg_alpha', 1.8396651269394315e-07), ('reg_lambda', 0.1613965374236702), ('scale_pos_weight', 4.622571269593607), ('subsample', 0.22110757669554626), ('subsample_for_bin', 280136), ('subsample_freq', 3)])",2.119283896420484
61,61,-2.345659362811253,-2.4538514232317383,-2.270490231196874,-2.356667005746622,0.07526047142360992,48,393.76418813069665,145.96361132994963,103.34385569890341,16.677639228147658,0.8778693933000777,0.021008519692227855,1000,44,25,10.0,434,96,1.681763286038225e-08,3.869858073657972e-06,500.0,1.0,211975,6,"OrderedDict([('colsample_bytree', 0.8778693933000777), ('learning_rate', 0.021008519692227858), ('max_bin', 1000), ('max_depth', 44), ('min_child_samples', 25), ('min_child_weight', 10.0), ('n_estimators', 434), ('num_leaves', 96), ('reg_alpha', 1.681763286038225e-08), ('reg_lambda', 3.869858073657972e-06), ('scale_pos_weight', 499.99999999999994), ('subsample', 1.0), ('subsample_for_bin', 211975), ('subsample_freq', 6)])",2.097330465684005
65,65,-2.341804170744896,-2.3864872763451044,-2.2837185471581547,-2.337336664749385,0.042073918144459925,11,113.72282942136127,42.99502648067519,58.69425590833029,8.722728255262181,0.3601948681510277,0.02920184242656976,380,100,48,3.771033891798239,234,62,7.293699905524577e-06,2.9211749992834446,500.0,0.22244684780914306,364138,2,"OrderedDict([('colsample_bytree', 0.3601948681510277), ('learning_rate', 0.029201842426569764), ('max_bin', 380), ('max_depth', 100), ('min_child_samples', 48), ('min_child_weight', 3.771033891798239), ('n_estimators', 234), ('num_leaves', 62), ('reg_alpha', 7.293699905524578e-06), ('reg_lambda', 2.9211749992834446), ('scale_pos_weight', 499.99999999999994), ('subsample', 0.22244684780914306), ('subsample_for_bin', 364138), ('subsample_freq', 2)])",2.126794782561308
